Description	Resource	Path	Location	Type
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	ADC.c	/Mega_Project/MCAL/ADC	line 74	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	ADC.c	/Mega_Project/MCAL/ADC	line 75	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	ADC.c	/Mega_Project/MCAL/ADC	line 76	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	ADC.c	/Mega_Project/MCAL/ADC	line 77	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	ADC.c	/Mega_Project/MCAL/ADC	line 82	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	ADC.c	/Mega_Project/MCAL/ADC	line 83	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	ADC.c	/Mega_Project/MCAL/ADC	line 84	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	ADC.c	/Mega_Project/MCAL/ADC	line 86	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	ADC.c	/Mega_Project/MCAL/ADC	line 87	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	ADC.c	/Mega_Project/MCAL/ADC	line 88	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	ADC.c	/Mega_Project/MCAL/ADC	line 89	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	ADC.c	/Mega_Project/MCAL/ADC	line 90	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	ADC.c	/Mega_Project/MCAL/ADC	line 91	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	ADC.c	/Mega_Project/MCAL/ADC	line 96	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	ADC.c	/Mega_Project/MCAL/ADC	line 97	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	ADC.c	/Mega_Project/MCAL/ADC	line 98	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	ADC.c	/Mega_Project/MCAL/ADC	line 100	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	ADC.c	/Mega_Project/MCAL/ADC	line 101	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	ADC.c	/Mega_Project/MCAL/ADC	line 102	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	ADC.c	/Mega_Project/MCAL/ADC	line 103	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	ADC.c	/Mega_Project/MCAL/ADC	line 104	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	ADC.c	/Mega_Project/MCAL/ADC	line 105	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	ADC.c	/Mega_Project/MCAL/ADC	line 106	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	ADC.c	/Mega_Project/MCAL/ADC	line 129	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	ADC.c	/Mega_Project/MCAL/ADC	line 130	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	ADC.c	/Mega_Project/MCAL/ADC	line 132	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	ADC.c	/Mega_Project/MCAL/ADC	line 136	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	ADC.c	/Mega_Project/MCAL/ADC	line 137	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	ADC.c	/Mega_Project/MCAL/ADC	line 139	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	ADC.c	/Mega_Project/MCAL/ADC	line 143	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	ADC.c	/Mega_Project/MCAL/ADC	line 144	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	ADC.c	/Mega_Project/MCAL/ADC	line 146	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	ADC.c	/Mega_Project/MCAL/ADC	line 150	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	ADC.c	/Mega_Project/MCAL/ADC	line 151	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	ADC.c	/Mega_Project/MCAL/ADC	line 153	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	Button.c	/Mega_Project/HAL/Button	line 31	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	Delay.c	/Mega_Project/GeneralFunctions	line 49	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	Delay.c	/Mega_Project/GeneralFunctions	line 66	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	Delay.c	/Mega_Project/GeneralFunctions	line 67	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	GPIO.c	/Mega_Project/MCAL/GPIO	line 42	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	GPIO.c	/Mega_Project/MCAL/GPIO	line 45	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	GPIO.c	/Mega_Project/MCAL/GPIO	line 50	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	GPIO.c	/Mega_Project/MCAL/GPIO	line 51	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	GPIO.c	/Mega_Project/MCAL/GPIO	line 52	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	GPIO.c	/Mega_Project/MCAL/GPIO	line 55	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	GPIO.c	/Mega_Project/MCAL/GPIO	line 56	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	GPIO.c	/Mega_Project/MCAL/GPIO	line 57	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	GPIO.c	/Mega_Project/MCAL/GPIO	line 60	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	GPIO.c	/Mega_Project/MCAL/GPIO	line 61	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	GPIO.c	/Mega_Project/MCAL/GPIO	line 62	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	GPIO.c	/Mega_Project/MCAL/GPIO	line 87	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	GPIO.c	/Mega_Project/MCAL/GPIO	line 92	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	GPIO.c	/Mega_Project/MCAL/GPIO	line 97	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	GPIO.c	/Mega_Project/MCAL/GPIO	line 102	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	GPIO.c	/Mega_Project/MCAL/GPIO	line 107	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	GPIO.c	/Mega_Project/MCAL/GPIO	line 112	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	GPIO.c	/Mega_Project/MCAL/GPIO	line 136	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	GPIO.c	/Mega_Project/MCAL/GPIO	line 140	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	GPIO.c	/Mega_Project/MCAL/GPIO	line 144	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	GPIO.c	/Mega_Project/MCAL/GPIO	line 148	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	GPIO.c	/Mega_Project/MCAL/GPIO	line 152	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	GPIO.c	/Mega_Project/MCAL/GPIO	line 156	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	GPIO.c	/Mega_Project/MCAL/GPIO	line 179	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	GPIO.c	/Mega_Project/MCAL/GPIO	line 180	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	GPIO.c	/Mega_Project/MCAL/GPIO	line 183	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	GPIO.c	/Mega_Project/MCAL/GPIO	line 184	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	GPIO.c	/Mega_Project/MCAL/GPIO	line 187	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	GPIO.c	/Mega_Project/MCAL/GPIO	line 188	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	GPIO.c	/Mega_Project/MCAL/GPIO	line 191	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	GPIO.c	/Mega_Project/MCAL/GPIO	line 192	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	GPIO.c	/Mega_Project/MCAL/GPIO	line 195	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	GPIO.c	/Mega_Project/MCAL/GPIO	line 196	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	GPIO.c	/Mega_Project/MCAL/GPIO	line 199	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	GPIO.c	/Mega_Project/MCAL/GPIO	line 200	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	GPIO.c	/Mega_Project/MCAL/GPIO	line 221	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	GPIO.c	/Mega_Project/MCAL/GPIO	line 225	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	GPIO.c	/Mega_Project/MCAL/GPIO	line 229	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	GPIO.c	/Mega_Project/MCAL/GPIO	line 234	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	GPIO.c	/Mega_Project/MCAL/GPIO	line 238	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	GPIO.c	/Mega_Project/MCAL/GPIO	line 242	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	GPIO.c	/Mega_Project/MCAL/GPIO	line 263	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	GPIO.c	/Mega_Project/MCAL/GPIO	line 268	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	GPIO.c	/Mega_Project/MCAL/GPIO	line 273	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	GPIO.c	/Mega_Project/MCAL/GPIO	line 278	C/C++ Problem
(MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	GPIO.c	/Mega_Project/MCAL/GPIO	line 284	C/C++ Problem
Unused declaration of variable 'Glob_TickCounts'	tasks.c	/Mega_Project/APP	line 11	Code Analysis Problem
This project was created with a newer version of Code Composer Studio - v12.3.0. It is recommended that you upgrade to v12.3.0, or newer version of Code Composer Studio, to ensure optimal compatibility.	Mega_Project		project	Problem
(MISRA-C:2004 9.1/R) All automatic variables shall have been assigned a value before being used (variable "Local_u16temp")	tasks.c	/Mega_Project/APP	line 120	C/C++ Problem
(MISRA-C:2004 6.2/R) signed and unsigned char type shall be used only for the storage and use of numeric values	tasks.c	/Mega_Project/APP	line 139	C/C++ Problem
(MISRA-C:2004 6.2/R) signed and unsigned char type shall be used only for the storage and use of numeric values	tasks.c	/Mega_Project/APP	line 138	C/C++ Problem
(MISRA-C:2004 6.1/R) The plain char type shall be used only for the storage and use of character values	tasks.c	/Mega_Project/APP	line 152	C/C++ Problem
(MISRA-C:2004 6.1/R) The plain char type shall be used only for the storage and use of character values	tasks.c	/Mega_Project/APP	line 151	C/C++ Problem
(MISRA-C:2004 6.1/R) The plain char type shall be used only for the storage and use of character values	tasks.c	/Mega_Project/APP	line 145	C/C++ Problem
(MISRA-C:2004 6.1/R) The plain char type shall be used only for the storage and use of character values	tasks.c	/Mega_Project/APP	line 144	C/C++ Problem
(MISRA-C:2004 19.7/A) A function should be used in preference to a function-like macro	hw_gpio.h	/Mega_Project/GeneralFunctions	line 701	C/C++ Problem
(MISRA-C:2004 19.7/A) A function should be used in preference to a function-like macro	Bit_Math.h	/Mega_Project/GeneralFunctions	line 42	C/C++ Problem
(MISRA-C:2004 19.7/A) A function should be used in preference to a function-like macro	Bit_Math.h	/Mega_Project/GeneralFunctions	line 41	C/C++ Problem
(MISRA-C:2004 19.7/A) A function should be used in preference to a function-like macro	Bit_Math.h	/Mega_Project/GeneralFunctions	line 40	C/C++ Problem
(MISRA-C:2004 19.7/A) A function should be used in preference to a function-like macro	Bit_Math.h	/Mega_Project/GeneralFunctions	line 39	C/C++ Problem
(MISRA-C:2004 19.7/A) A function should be used in preference to a function-like macro	Bit_Math.h	/Mega_Project/GeneralFunctions	line 38	C/C++ Problem
(MISRA-C:2004 19.7/A) A function should be used in preference to a function-like macro	Bit_Math.h	/Mega_Project/GeneralFunctions	line 37	C/C++ Problem
(MISRA-C:2004 19.7/A) A function should be used in preference to a function-like macro	Bit_Math.h	/Mega_Project/GeneralFunctions	line 36	C/C++ Problem
(MISRA-C:2004 19.7/A) A function should be used in preference to a function-like macro	.ccsproject	/Mega_Project	line 55, external location: C:\ti\ccsv8\tools\compiler\ti-cgt-arm_18.1.4.LTS\include\machine\_stdint.h	C/C++ Problem
(MISRA-C:2004 19.7/A) A function should be used in preference to a function-like macro	.ccsproject	/Mega_Project	line 54, external location: C:\ti\ccsv8\tools\compiler\ti-cgt-arm_18.1.4.LTS\include\machine\_stdint.h	C/C++ Problem
(MISRA-C:2004 19.7/A) A function should be used in preference to a function-like macro	.ccsproject	/Mega_Project	line 52, external location: C:\ti\ccsv8\tools\compiler\ti-cgt-arm_18.1.4.LTS\include\machine\_stdint.h	C/C++ Problem
(MISRA-C:2004 19.7/A) A function should be used in preference to a function-like macro	.ccsproject	/Mega_Project	line 51, external location: C:\ti\ccsv8\tools\compiler\ti-cgt-arm_18.1.4.LTS\include\machine\_stdint.h	C/C++ Problem
(MISRA-C:2004 19.7/A) A function should be used in preference to a function-like macro	.ccsproject	/Mega_Project	line 50, external location: C:\ti\ccsv8\tools\compiler\ti-cgt-arm_18.1.4.LTS\include\machine\_stdint.h	C/C++ Problem
(MISRA-C:2004 19.7/A) A function should be used in preference to a function-like macro	.ccsproject	/Mega_Project	line 49, external location: C:\ti\ccsv8\tools\compiler\ti-cgt-arm_18.1.4.LTS\include\machine\_stdint.h	C/C++ Problem
(MISRA-C:2004 19.7/A) A function should be used in preference to a function-like macro	.ccsproject	/Mega_Project	line 47, external location: C:\ti\ccsv8\tools\compiler\ti-cgt-arm_18.1.4.LTS\include\machine\_stdint.h	C/C++ Problem
(MISRA-C:2004 19.7/A) A function should be used in preference to a function-like macro	.ccsproject	/Mega_Project	line 46, external location: C:\ti\ccsv8\tools\compiler\ti-cgt-arm_18.1.4.LTS\include\machine\_stdint.h	C/C++ Problem
(MISRA-C:2004 19.7/A) A function should be used in preference to a function-like macro	.ccsproject	/Mega_Project	line 45, external location: C:\ti\ccsv8\tools\compiler\ti-cgt-arm_18.1.4.LTS\include\machine\_stdint.h	C/C++ Problem
(MISRA-C:2004 19.7/A) A function should be used in preference to a function-like macro	.ccsproject	/Mega_Project	line 44, external location: C:\ti\ccsv8\tools\compiler\ti-cgt-arm_18.1.4.LTS\include\machine\_stdint.h	C/C++ Problem
(MISRA-C:2004 19.13/A) The # and ## operators should not be used	.ccsproject	/Mega_Project	line 52, external location: C:\ti\ccsv8\tools\compiler\ti-cgt-arm_18.1.4.LTS\include\machine\_stdint.h	C/C++ Problem
(MISRA-C:2004 19.13/A) The # and ## operators should not be used	.ccsproject	/Mega_Project	line 51, external location: C:\ti\ccsv8\tools\compiler\ti-cgt-arm_18.1.4.LTS\include\machine\_stdint.h	C/C++ Problem
(MISRA-C:2004 19.13/A) The # and ## operators should not be used	.ccsproject	/Mega_Project	line 47, external location: C:\ti\ccsv8\tools\compiler\ti-cgt-arm_18.1.4.LTS\include\machine\_stdint.h	C/C++ Problem
(MISRA-C:2004 19.10/R) In the definition of a function-like macro each instance of a parameter shall be enclosed in parentheses unless it is used as the operand of # or ##. The compiler cannot determine if the parameter "Var" is used as an operand of # or ##.	Bit_Math.h	/Mega_Project/GeneralFunctions	line 39	C/C++ Problem
(MISRA-C:2004 19.10/R) In the definition of a function-like macro each instance of a parameter shall be enclosed in parentheses unless it is used as the operand of # or ##. The compiler cannot determine if the parameter "Var" is used as an operand of # or ##.	Bit_Math.h	/Mega_Project/GeneralFunctions	line 38	C/C++ Problem
(MISRA-C:2004 19.10/R) In the definition of a function-like macro each instance of a parameter shall be enclosed in parentheses unless it is used as the operand of # or ##. The compiler cannot determine if the parameter "Var" is used as an operand of # or ##.	Bit_Math.h	/Mega_Project/GeneralFunctions	line 37	C/C++ Problem
(MISRA-C:2004 19.10/R) In the definition of a function-like macro each instance of a parameter shall be enclosed in parentheses unless it is used as the operand of # or ##. The compiler cannot determine if the parameter "Var" is used as an operand of # or ##.	Bit_Math.h	/Mega_Project/GeneralFunctions	line 36	C/C++ Problem
(MISRA-C:2004 19.10/R) In the definition of a function-like macro each instance of a parameter shall be enclosed in parentheses unless it is used as the operand of # or ##. The compiler cannot determine if the parameter "VALUE" is used as an operand of # or ##.	Bit_Math.h	/Mega_Project/GeneralFunctions	line 41	C/C++ Problem
(MISRA-C:2004 19.10/R) In the definition of a function-like macro each instance of a parameter shall be enclosed in parentheses unless it is used as the operand of # or ##. The compiler cannot determine if the parameter "VALUE" is used as an operand of # or ##.	Bit_Math.h	/Mega_Project/GeneralFunctions	line 40	C/C++ Problem
(MISRA-C:2004 19.10/R) In the definition of a function-like macro each instance of a parameter shall be enclosed in parentheses unless it is used as the operand of # or ##. The compiler cannot determine if the parameter "Val" is used as an operand of # or ##.	Bit_Math.h	/Mega_Project/GeneralFunctions	line 42	C/C++ Problem
